2024/03/04 02:53:45 [error] 9#9: *5 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/"
2024/03/04 02:54:12 [error] 9#9: *13 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:5000", referrer: "https://localhost:5000/v2/game"
2024/03/04 02:54:19 [error] 9#9: *5 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 02:55:15 [error] 12#12: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.19.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 02:57:34 [error] 12#12: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 02:58:02 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 02:58:36 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.22.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 02:59:22 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/04 03:00:51 [error] 9#9: *9 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:04:33 [error] 9#9: *5 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.19.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:14:25 [error] 10#10: *5 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:23:04 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
